iter	Logloss
0	0.6506928568
1	0.6142272681
2	0.5832265508
3	0.5551706061
4	0.5299957574
5	0.5090266692
6	0.4887140218
7	0.4699437635
8	0.4534958305
9	0.4406430631
10	0.4303240543
11	0.4202478653
12	0.4114842451
13	0.4028195464
14	0.3947188319
15	0.3888517055
16	0.3823045027
17	0.3751033966
18	0.3692167708
19	0.3637681662
20	0.3590864635
21	0.3542730278
22	0.3496374143
23	0.3462818708
24	0.3419292227
25	0.3391072502
26	0.3360452734
27	0.3336692121
28	0.3310280858
29	0.3274402889
30	0.3248925576
31	0.3235973679
32	0.3201674421
33	0.3171254511
34	0.314224126
35	0.3121851832
36	0.3091024905
37	0.3069865238
38	0.3052688846
39	0.3031231302
40	0.3007869712
41	0.2996834722
42	0.2977117863
43	0.2960954668
44	0.2948828274
45	0.2936478734
46	0.2928652261
47	0.2913401118
48	0.2897773023
49	0.2885690251
50	0.2871103856
51	0.285330512
52	0.2846366194
53	0.2823509812
54	0.2814002265
55	0.2806454378
56	0.2797241232
57	0.2782014245
58	0.2768361625
59	0.2757037448
60	0.2743919407
61	0.2735701558
62	0.2728535488
63	0.272231866
64	0.2712352828
65	0.269897862
66	0.2678950329
67	0.2671633756
68	0.2655484465
69	0.263637031
70	0.2631078047
71	0.2629587621
72	0.2619616923
73	0.2613873501
74	0.2606674758
75	0.2601322364
76	0.2596763843
77	0.2588890447
78	0.2572458051
79	0.2568406303
80	0.2546909831
81	0.2532193093
82	0.2520947816
83	0.2514808499
84	0.2501055602
85	0.249282385
86	0.2480689289
87	0.2468322717
88	0.2463468058
89	0.2450368265
90	0.2446353883
91	0.2434431519
92	0.242509446
93	0.2415676415
94	0.2406124725
95	0.2396290279
96	0.2393323852
97	0.2384960714
98	0.237116072
99	0.2351348623
100	0.2342473499
101	0.2334397115
102	0.232340453
103	0.230885324
104	0.2304936702
105	0.2299362725
106	0.2294014675
107	0.2289726399
108	0.2273889061
109	0.2271182624
110	0.2261532048
111	0.2250819786
112	0.2244190207
113	0.2235499648
114	0.2231709108
115	0.2224857598
116	0.221897636
117	0.2214514467
118	0.219828471
119	0.2194796217
120	0.2181917486
121	0.2176386609
122	0.2161940636
123	0.2154696882
124	0.2142577961
125	0.2133637144
126	0.2130184973
127	0.2127118096
128	0.2116543302
129	0.210995943
130	0.2103863387
131	0.2101561534
132	0.2093822651
133	0.2080309063
134	0.2077012782
135	0.2064686704
136	0.2050698147
137	0.204791055
138	0.2033110045
139	0.2027569436
140	0.2025317635
141	0.2010272954
142	0.2002835424
143	0.1997481465
144	0.1989537336
145	0.1982385169
146	0.1977946912
147	0.1974218762
148	0.1969214296
149	0.1955382846
150	0.1947404654
151	0.1944075352
152	0.1933569728
153	0.1928416671
154	0.191905111
155	0.1913742337
156	0.1907861273
157	0.1904633813
158	0.1888732868
159	0.1880884323
160	0.1875079379
161	0.1866492399
162	0.1862682741
163	0.1860696839
164	0.1858418101
165	0.1855450283
166	0.1838573332
167	0.1836828477
168	0.1830430212
169	0.1824008486
170	0.1820567785
171	0.1816467203
172	0.1801778271
173	0.1800293928
174	0.1798114597
175	0.1796167103
176	0.1780968097
177	0.1769785385
178	0.1759177224
