iter	Passed	Remaining
0	10	5315
1	18	4544
2	27	4589
3	37	4639
4	46	4616
5	58	4801
6	68	4805
7	77	4782
8	86	4707
9	96	4745
10	104	4664
11	114	4640
12	122	4586
13	130	4544
14	140	4537
15	149	4517
16	159	4535
17	168	4506
18	176	4480
19	185	4454
20	193	4417
21	202	4401
22	212	4402
23	222	4403
24	232	4424
25	241	4408
26	249	4365
27	260	4386
28	267	4339
29	277	4350
30	286	4334
31	294	4308
32	303	4292
33	312	4278
34	322	4279
35	330	4254
36	338	4231
37	345	4197
38	352	4161
39	358	4121
40	366	4097
41	372	4066
42	380	4041
43	388	4028
44	396	4008
45	404	3996
46	413	3983
47	421	3971
48	429	3949
49	436	3925
50	444	3910
51	452	3894
52	460	3882
53	467	3858
54	475	3843
55	482	3829
56	489	3802
57	496	3786
58	503	3762
59	510	3746
60	519	3738
61	526	3718
62	534	3704
63	540	3680
64	547	3666
65	555	3652
66	562	3637
67	569	3620
68	577	3609
69	584	3588
70	591	3574
71	596	3545
72	603	3527
73	610	3515
74	619	3512
75	627	3500
76	637	3501
77	645	3491
78	653	3485
79	660	3468
80	668	3456
81	674	3436
82	681	3422
83	689	3413
84	695	3395
85	703	3384
86	710	3372
87	716	3356
88	723	3342
89	730	3327
90	736	3308
91	742	3293
92	748	3273
93	754	3257
94	760	3241
95	767	3228
96	773	3213
97	779	3196
98	785	3181
99	792	3169
100	798	3154
101	804	3140
102	810	3124
103	817	3113
104	823	3097
105	829	3081
106	834	3066
107	840	3050
108	847	3039
109	853	3024
110	858	3008
111	864	2994
112	870	2980
113	877	2969
114	883	2956
115	889	2943
116	894	2929
117	900	2916
118	906	2903
119	912	2890
120	918	2876
121	926	2869
122	932	2856
123	939	2849
124	945	2837
125	952	2826
126	957	2813
127	963	2800
128	970	2790
129	976	2778
130	982	2766
131	988	2756
132	994	2745
133	1000	2733
134	1006	2721
135	1013	2711
136	1019	2700
137	1025	2689
138	1030	2677
139	1036	2665
140	1043	2655
141	1049	2644
142	1055	2635
